"Timestamp","Age","  Grade/Class  ","
Gender ","Average hours spent studying per day","Preferred study method ","  Subject(s) you find most challenging  ","Extra-curricular activities you participate in ","Do you feel marginalized or discriminated against at School/College/University? ","Have you ever used tobacco, alcohol, or other substances? "
"2026/03/28 6:00:05 AM GMT+5","20","Under-Grad (Bachelors)","Female","Less than 1 hour","Self-study","Science (Physics, Chem, Bio, Comp SCI)","Sports;Arts/Music","Sometimes","Yes"
"2026/03/28 6:07:50 AM GMT+5","16","11","Male","1–2 hours","Self-study;Online tutorials;Coaching classes","Science (Physics, Chem, Bio, Comp SCI)","Sports;Debates/Speeches","Often","No"
"2026/03/28 6:21:00 AM GMT+5","17","10","Male","Less than 1 hour","Self-study;Online tutorials","Math","Debates/Speeches","Often","No"
"2026/03/28 6:30:41 AM GMT+5","28","Post-grad (Masters)","Female","2–4 hours","Self-study;Online tutorials","Math","Debates/Speeches","Often","Sometimes"
"2026/03/28 6:34:17 AM GMT+5","18","12","Male","1–2 hours","Self-study;Coaching classes","Math","Sports;Debates/Speeches","Sometimes","No"
"2026/03/28 7:10:38 AM GMT+5","17","12","Male","Less than 1 hour","Self-study","Math","Sports","Sometimes","Yes"
"2026/03/28 9:39:00 AM GMT+5","16","12","Female","1–2 hours","Self-study","Science (Physics, Chem, Bio, Comp SCI)","Debates/Speeches","Never","No"
"2026/03/28 10:23:57 AM GMT+5","20","12","Female","2–4 hours","Self-study","Math","Sports;Debates/Speeches","Never","No"
"2026/03/28 10:33:55 AM GMT+5","16","11","Male","2–4 hours","Self-study;Coaching classes","Math","Sports","Never","Yes"
"2026/03/28 11:40:28 AM GMT+5","18","11","Female","2–4 hours","Self-study;Coaching classes","Urdu islamiat chemistry ","Debates/Speeches","Rarely","No"
"2026/03/28 11:58:55 AM GMT+5","19","Under-Grad (Bachelors)","Female","More than 4 hours","Self-study","Math;Science (Physics, Chem, Bio, Comp SCI)","Sports","Sometimes","No"
"2026/03/28 12:02:48 PM GMT+5","17","11","Female","1–2 hours","Self-study","Math","Sports;Debates/Speeches","Often","Yes"
"2026/03/28 12:08:38 PM GMT+5","16","11","Male","1–2 hours","Self-study","Science (Physics, Chem, Bio, Comp SCI)","Sports;Debates/Speeches","Never","Yes"
"2026/03/28 1:21:05 PM GMT+5","16","11","Male","2–4 hours","Self-study;Coaching classes","Science (Physics, Chem, Bio, Comp SCI)","Sports;Debates/Speeches","Sometimes","No"
